python : import time: self [us] | cumulative | imported package
No linha:1 caractere:1
+ python -X importtime -c "import src.besx.entrypoints.dashboard.stream ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       992 |        992 |               google.protobuf.internal.field_mask
import time:      2862 |       6328 |             google.protobuf.internal.well_known_types
import time:      1488 |      29344 |           google.protobuf.internal.python_message
import time:      1569 |      34435 |         google.protobuf.descriptor_pool
import time:       643 |        643 |             google.protobuf.pyext
import time:       861 |        861 |             google.protobuf.pyext.cpp_message
import time:       843 |       2346 |           google.protobuf.message_factory
import time:       935 |       3281 |         google.protobuf.symbol_database
import time:       584 |        584 |           google.protobuf.reflection
import time:       782 |       1365 |         google.protobuf.internal.builder
import time:      1340 |      52594 |       streamlit.proto.RootContainer_pb2
import time:      1038 |      54305 |     streamlit.delta_generator_singletons
import time:      2511 |       2511 |       typing_extensions
import time:       660 |        660 |                       concurrent
import time:      1239 |       1239 |                       concurrent.futures._base
import time:       738 |       2636 |                     concurrent.futures
import time:        94 |         94 |                       _heapq
import time:       744 |        838 |                     heapq
import time:      3580 |       3580 |                       _ssl
import time:      3536 |       7116 |                     ssl
import time:      1164 |       1164 |                     asyncio.constants
import time:      1473 |       1473 |                     asyncio.coroutines
import time:      1242 |       1242 |                       asyncio.format_helpers
import time:      1088 |       1088 |                         asyncio.base_futures
import time:       832 |        832 |                         asyncio.exceptions
import time:       809 |        809 |                         asyncio.base_tasks
import time:      3289 |       6016 |                       _asyncio
import time:      2156 |       9413 |                     asyncio.events
import time:       964 |        964 |                     asyncio.futures
import time:       668 |        668 |                     asyncio.protocols
import time:       726 |        726 |                       asyncio.transports
import time:       528 |        528 |                       asyncio.log
import time:      1685 |       2938 |                     asyncio.sslproto
import time:       865 |        865 |                         asyncio.mixins
import time:      1376 |       2240 |                       asyncio.locks
import time:       852 |        852 |                         asyncio.queues
import time:      1136 |       1136 |                         asyncio.timeouts
import time:      1797 |       3783 |                       asyncio.tasks
import time:       822 |       6844 |                     asyncio.staggered
import time:       884 |        884 |                     asyncio.trsock
import time:      2337 |      37272 |                   asyncio.base_events
import time:       898 |        898 |                   asyncio.runners
import time:      1324 |       1324 |                   asyncio.streams
import time:       995 |        995 |                   asyncio.subprocess
import time:       673 |        673 |                   asyncio.taskgroups
import time:       482 |        482 |                   asyncio.threads
import time:      3164 |       3164 |                     _overlapped
import time:      1236 |       1236 |                     asyncio.base_subprocess
import time:      3443 |       3443 |                     asyncio.proactor_events
import time:      1668 |       1668 |                     asyncio.selector_events
import time:       907 |        907 |                     asyncio.windows_utils
import time:      1531 |      11946 |                   asyncio.windows_events
import time:      1243 |      54829 |                 asyncio
import time:       874 |        874 |                     streamlit.components
import time:       817 |       1691 |                   streamlit.components.lib
import time:       720 |        720 |                     streamlit.components.types
import time:      1167 |       1886 |                   streamlit.components.types.base_component_registry
import time:      1189 |       4764 |                 streamlit.components.lib.local_component_registry
import time:       853 |        853 |                   streamlit.proto.AutoRerun_pb2
import time:      1037 |       1037 |                   streamlit.proto.Common_pb2
import time:      1058 |       1058 |                     streamlit.proto.Block_pb2
import time:      1336 |       1336 |                         streamlit.proto.WidthConfig_pb2
import time:      1739 |       3074 |                       streamlit.proto.Alert_pb2
import time:      1309 |       1309 |                       streamlit.proto.Arrow_pb2
import time:      1142 |       1142 |                       streamlit.proto.Audio_pb2
import time:       889 |        889 |                         streamlit.proto.LabelVisibilityMessage_pb2
import time:       893 |       1782 |                       streamlit.proto.AudioInput_pb2
import time:      1081 |       1081 |                       streamlit.proto.Balloons_pb2
import time:       920 |        920 |                         streamlit.proto.ArrowNamedDataSet_pb2
import time:      1075 |       1994 |                       streamlit.proto.ArrowVegaLiteChart_pb2
import time:      1197 |       1197 |                       streamlit.proto.BokehChart_pb2
import time:       893 |        893 |                       streamlit.proto.Button_pb2
import time:      1015 |       1015 |                       streamlit.proto.ButtonGroup_pb2
import time:       807 |        807 |                       streamlit.proto.DownloadButton_pb2
import time:       974 |        974 |                       streamlit.proto.CameraInput_pb2
import time:      1459 |       1459 |                       streamlit.proto.ChatInput_pb2
