"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
41400,18,1039.6277426839335,162000,0,0,0.80058581555881658
41700,23,1039.6277426839335,162000,0,0,0.80058581555881658
42000,4,1039.6277426839335,162000,0,0,0.80058581555881658
42300,9,1039.6277426839335,162000,0,0,0.80058581555881658
42600,14,1039.6277426839335,162000,0,0,0.80058581555881658
42900,19,1039.6277426839335,162000,0,0,0.80058581555881658
43200,0,1039.6277426839335,162000,0,0,0.80058581555881658
43500,5,1039.6277426839335,162000,0,0,0.80058581555881658
43800,10,1039.6277426839335,162000,0,0,0.80058581555881658
44100,15,1039.6277426839335,162000,0,0,0.80058581555881658
44400,20,1039.6277426839335,162000,0,0,0.80058581555881658
44700,1,1039.6277426839335,162000,0,0,0.80058581555881658
45000,6,1039.6277426839335,162000,0,0,0.80058581555881658
45300,11,1039.6277426839335,162000,0,0,0.80058581555881658
45600,16,1039.6277426839335,162000,0,0,0.80058581555881658
45900,21,1039.6277426839335,162000,0,0,0.80058581555881658
46200,2,1039.6277426839335,162000,0,0,0.80058581555881658
46500,7,1039.6277426839335,162000,0,0,0.80058581555881658
46800,12,1039.6277426839335,160320,0,0,0.80058581555881658
47100,17,1039.6277426839335,160320,0,0,0.80058581555881658
47400,22,1039.6277426839335,160320,0,0,0.80058581555881658
47700,3,1039.6277426839335,162000,0,0,0.80058581555881658
48000,8,1039.6277426839335,162000,0,0,0.80058581555881658
48300,13,1039.6277426839335,162000,0,0,0.80058581555881658
48600,18,1039.6277426839335,157800,0,0,0.80058581555881658
48900,23,1039.6277426839335,157800,0,0,0.80058581555881658
49200,4,1039.6277426839335,157800,0,0,0.80058581555881658
49500,9,1039.6277426839335,162000,0,0,0.80058581555881658
49800,14,1039.6277426839335,162000,0,0,0.80058581555881658
50100,19,1039.6277426839335,162000,0,0,0.80058581555881658
50400,0,1039.6277426839335,162000,0,0,0.80058581555881658
50700,5,1039.6277426839335,162000,0,0,0.80058581555881658
