"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
48300,13,1040.5015590656153,11667.176367912934,0,0,0.80192907332929009
48600,18,1040.5015590656153,13902.250086178068,0,0,0.80192907332929009
48900,23,1040.5015590656153,15214.516958581155,0,0,0.80192907332929009
49200,4,1040.5015590656153,18995.340232863982,0,0,0.80192907332929009
49500,9,1040.5015590656153,44194.336033590487,0,0,0.80192907332929009
49800,14,1040.5015590656153,16850.877111319693,0,0,0.80192907332929009
50100,19,1040.5015590656153,13569.414932518986,0,0,0.80192907332929009
50400,0,1040.5015590656153,11983.136210332093,0,0,0.80192907332929009
50700,5,1040.5015590656153,10946.518816291198,0,0,0.80192907332929009
51000,10,1040.5015590656153,10460.677438464771,0,0,0.80192907332929009
51300,15,1040.5015590656153,10831.934641793188,0,0,0.80192907332929009
51600,20,1040.5015590656153,11527.596715772552,0,0,0.80192907332929009
51900,1,1040.5015590656153,12554.616119315033,0,0,0.80192907332929009
52200,6,1040.5015590656153,13385.260997348374,0,0,0.80192907332929009
52500,11,1040.5015590656153,13871.392385054998,0,0,0.80192907332929009
52800,16,1040.5015590656153,14314.624648944551,0,0,0.80192907332929009
53100,21,1040.5015590656153,14135.855302325002,0,0,0.80192907332929009
53400,2,1040.5015590656153,14747.95594697852,0,0,0.80192907332929009
53700,7,1040.5015590656153,16369.169045319722,0,0,0.80192907332929009
54000,12,1040.5015590656153,17691.998457059646,0,0,0.80192907332929009
54300,17,1040.5015590656153,20835.656696925431,0,0,0.80192907332929009
54600,22,1040.5015590656153,22386.77756460827,0,0,0.80192907332929009
54900,3,1040.5015590656153,21576.038035052683,0,0,0.80192907332929009
55200,8,1040.5015590656153,19413.016559817373,0,0,0.80192907332929009
55500,13,1040.5015590656153,16842.096158617209,0,0,0.80192907332929009
55800,18,1040.5015590656153,16540.144159427451,0,0,0.80192907332929009
56100,23,1040.5015590656153,15731.749666405078,0,0,0.80192907332929009
56400,4,1040.5015590656153,18867.743716673605,0,0,0.80192907332929009
