Tempo,SOC,Corrente_A,Tensao_Term_V,Potencia_CA_kW
2340.0,0.6500000000000004,468.0,30.205000000000002,14.13594
2400.0,0.6666666666666671,468.0,30.205000000000002,14.13594
2460.0,0.6833333333333338,468.0,30.205000000000002,14.13594
2520.0,0.7000000000000005,468.0,30.205000000000002,14.13594
2580.0,0.7166666666666672,468.0,30.205000000000002,14.13594
2640.0,0.733333333333334,468.0,30.205000000000002,14.13594
2700.0,0.7500000000000007,468.0,30.205000000000002,14.13594
2760.0,0.7666666666666674,468.0,30.205000000000002,14.13594
2820.0,0.7833333333333341,468.0,30.205000000000002,14.13594
2880.0,0.8000000000000008,468.0,30.205000000000002,14.13594
2940.0,0.8166666666666675,468.0,30.205000000000002,14.13594
3000.0,0.8333333333333343,468.0,30.205000000000002,14.13594
3060.0,0.850000000000001,468.0,30.205000000000002,14.13594
3120.0,0.8666666666666677,468.0,30.205000000000002,14.13594
3180.0,0.8833333333333344,468.0,30.205000000000002,14.13594
3240.0,0.9000000000000011,468.0,30.205000000000002,14.13594
3300.0,0.9166666666666679,468.0,30.205000000000002,14.13594
3360.0,0.9333333333333346,468.0,30.205000000000002,14.13594
3420.0,0.9500000000000013,468.0,30.205000000000002,14.13594
3480.0,0.966666666666668,468.0,30.205000000000002,14.13594
3540.0,0.9833333333333347,468.0,30.205000000000002,14.13594
3600.0,1.0,-468.0,30.205000000000002,-14.13594
3660.0,0.9833333333333333,-468.0,30.205000000000002,-14.13594
3720.0,0.9666666666666666,-468.0,30.205000000000002,-14.13594
3780.0,0.9499999999999998,-468.0,30.205000000000002,-14.13594
3840.0,0.9333333333333331,-468.0,30.205000000000002,-14.13594
3900.0,0.9166666666666664,-468.0,30.205000000000002,-14.13594
3960.0,0.8999999999999997,-468.0,30.205000000000002,-14.13594
4020.0,0.883333333333333,-468.0,30.205000000000002,-14.13594
4080.0,0.8666666666666663,-468.0,30.205000000000002,-14.13594
4140.0,0.8499999999999995,-468.0,30.205000000000002,-14.13594
4200.0,0.8333333333333328,-468.0,30.205000000000002,-14.13594
4260.0,0.8166666666666661,-468.0,30.205000000000002,-14.13594
4320.0,0.7999999999999994,-468.0,30.205000000000002,-14.13594
4380.0,0.7833333333333327,-468.0,30.205000000000002,-14.13594
4440.0,0.7666666666666659,-468.0,30.205000000000002,-14.13594
4500.0,0.7499999999999992,-468.0,30.205000000000002,-14.13594
4560.0,0.7333333333333325,-468.0,30.205000000000002,-14.13594
4620.0,0.7166666666666658,-468.0,30.205000000000002,-14.13594
4680.0,0.6999999999999991,-468.0,30.205000000000002,-14.13594
4740.0,0.6833333333333323,-468.0,30.205000000000002,-14.13594
4800.0,0.6666666666666656,-468.0,30.205000000000002,-14.13594
4860.0,0.6499999999999989,-468.0,30.205000000000002,-14.13594
4920.0,0.6333333333333322,-468.0,30.205000000000002,-14.13594
4980.0,0.6166666666666655,-468.0,30.205000000000002,-14.13594
5040.0,0.5999999999999988,-468.0,30.205000000000002,-14.13594
5100.0,0.583333333333332,-468.0,30.205000000000002,-14.13594
5160.0,0.5666666666666653,-468.0,30.205000000000002,-14.13594
5220.0,0.5499999999999986,-468.0,30.205000000000002,-14.13594
5280.0,0.5333333333333319,-468.0,30.205000000000002,-14.13594
5340.0,0.5166666666666652,-468.0,30.205000000000002,-14.13594
5400.0,0.4999999999999985,-468.0,30.205000000000002,-14.13594
5460.0,0.48333333333333184,-468.0,30.205000000000002,-14.13594
5520.0,0.4666666666666652,-468.0,30.205000000000002,-14.13594
5580.0,0.4499999999999985,-468.0,30.205000000000002,-14.13594
5640.0,0.43333333333333185,-468.0,30.205000000000002,-14.13594
5700.0,0.4166666666666652,-468.0,30.205000000000002,-14.13594
5760.0,0.3999999999999985,-468.0,30.205000000000002,-14.13594
5820.0,0.38333333333333186,-468.0,30.205000000000002,-14.13594
5880.0,0.3666666666666652,-468.0,30.205000000000002,-14.13594
5940.0,0.34999999999999853,-468.0,30.205000000000002,-14.13594
6000.0,0.33333333333333187,-468.0,30.205000000000002,-14.13594
